dt,constraint_family_num,dam,rtm
2021-07-12,20,-541.6615,0.0
2021-07-12,92,-3.717,0.0
2021-07-12,141,-471.0919,-292.20640000000003
2021-07-12,146,-3.0796,0.0
2021-07-12,173,-26.1641,0.0
2021-07-12,176,-25.7639,-96.9987
2021-07-12,477,-107.8047,-86.7099
2021-07-12,535,-444.94079999999997,-23.3686
2021-07-12,572,-36.4768,0.0
2021-07-12,802,-4.3259,0.0
2021-07-12,850,0.0,-311.5571
2021-07-12,902,-0.2962,-1.2448000000000001
2021-07-12,955,0.0,-13.8818
2021-07-12,965,-49.176100000000005,0.0
2021-07-12,1032,-69.7602,0.0
2021-07-12,1087,-164.0044,0.0
2021-07-12,6299,0.0,-58.3791
2021-07-12,36308,-29.9552,-338.8638
2021-07-12,61392,-201.1298,0.0
2021-07-12,182030,-0.7715,0.0
2021-07-12,274585,-126.6767,0.0
2021-07-12,283171,-99.701,0.0
2021-07-12,414232,-417.3351,0.0
2021-07-12,476719,0.0,-60.7682
2021-07-12,480442,-235.816,-316.4194
2021-07-12,590346,0.0,-32.1817
2021-07-12,607753,0.0,-188.3675
2021-07-12,610892,-156.1772,0.0
2021-07-12,638888,0.0,-2156.1052
2021-07-12,662067,-948.0019,0.0
2021-07-12,691398,0.0,-1.4028
2021-07-12,735517,-12.0654,0.0
2021-07-12,755245,0.0,-8.9041
2021-07-12,821296,-12.1125,-2.6048999999999998
2021-07-12,1223483,-188.6427,0.0
2021-07-12,1223513,-537.3433,0.0
2021-07-12,1223696,-1635.8138,0.0
2021-07-12,1223945,-0.0141,0.0
2021-07-12,1224067,-63.888600000000004,0.0
2021-07-12,1224134,-193.6507,0.0
2021-07-12,1224229,-2.1893000000000002,0.0
2021-07-13,92,-48.134299999999996,0.0
2021-07-13,146,-192.96800000000002,-1.0386
2021-07-13,176,-285.3363,0.0
2021-07-13,250,-127.342,0.0
2021-07-13,268,0.0,-240.3782
2021-07-13,299,-25.1305,0.0
2021-07-13,414,-46.072900000000004,0.0
2021-07-13,462,0.0,-79.5522
2021-07-13,474,-136.2,0.0
2021-07-13,477,-466.139,-1182.425
2021-07-13,535,-83.3866,-167.76760000000002
2021-07-13,540,0.0,-4.0653
2021-07-13,572,-2690.2149999999997,-476.50079999999997
2021-07-13,728,0.0,-6596.8251
2021-07-13,779,-108.5279,-650.4011
2021-07-13,784,-78.8077,0.0
2021-07-13,802,-3.5237,0.0
2021-07-13,870,-1120.4601,0.0
2021-07-13,884,-62.3725,0.0
2021-07-13,896,-16.5168,0.0
2021-07-13,904,-137.5314,0.0
2021-07-13,937,-278.058,-25.1602
2021-07-13,955,-136.6365,0.0
2021-07-13,965,0.0,-153.4569
2021-07-13,1032,-109.66239999999999,0.0
2021-07-13,1037,-159.3515,0.0
2021-07-13,1087,-17.841,0.0
