,,,,,,
Daily Rolling History,,,,,,

OD,Run Type,DA Inadequacy,RT Inadequacy,RT RNU Qty,RT RNU Amt,RT RNU Dist Rate
04/07/2026,S7,66097.19,-269056.06,2067696.380,203062.13,-9.8199999999999996E-2
04/06/2026,S7,387522.28,-14629.65,1900574.987,-372904.07,0.196200000
04/05/2026,S7,363921.47,-294816.09,1708687.713,-69008.42,4.0399999999999998E-2
04/04/2026,S7,192289.08,-757959.39,1922312.509,565723.05,-0.294300000
04/03/2026,S7,286547.77,-827727.58,2054477.420,541155.9,-0.263400000
04/02/2026,S7,290362.76,-557580.45,2016832.273,267256.28,-0.132500000
04/01/2026,S7,410502.65,-534799.63,2021182.880,124300.11,-6.1499999999999999E-2
03/31/2026,S7,-6.66,-193251.1,2002579.617,-40825.51,2.0400000000000001E-2
03/30/2026,S7,-8.19,117829.1,1974589.338,-271923.83,0.137700000
03/29/2026,S7,-26.98,-766747.37,1795812.941,417898.88,-0.232700000
03/28/2026,S7,-17.01,-992423.5,1824693.385,359108.64,-0.196800000
03/27/2026,S7,4.22,-212366.29,1913417.503,-9777.95,5.1000000000000004E-3
03/26/2026,S7,-12.24,-1095230.18,2153946.839,1053933.66,-0.489300000
03/25/2026,S7,1.17,-750560.3,1947935.077,340474.18,-0.174800000
03/24/2026,S7,1.47,-201247.54,1821632.695,184134.91,-0.101100000
03/23/2026,S7,-9.37,-194693.32,1768315.514,-28120.8,1.5900000000000001E-2
03/22/2026,S7,-23.41,-1793717.22,1940020.077,449935.58,-0.231900000
03/21/2026,S7,-29.81,-305419.4,1825199.946,108624.09,-5.9499999999999997E-2
03/20/2026,S7,-18.08,865526.49,1754269.346,-981706.28,0.559600000
03/19/2026,S7,-44.75,-168083.89,1777835.847,28430.38,-1.6E-2
03/18/2026,S7,-45.11,-299233.21,1842033.409,392545.22,-0.213100000
03/17/2026,S7,35.39,-2434277.43,2091530.865,2181669.93,-1.043100000
03/16/2026,S7,14.77,-166802.66,2081519.409,-471883.82,0.226700000
03/15/2026,S7,21.3,-1429997.02,1915025.715,682137.27,-0.356200000
03/14/2026,S7,-45.05,-713455.39,1781431.163,369636.39,-0.207500000
03/13/2026,S7,-16.25,378596.2,1797164.627,-559622.95,0.311400000
03/12/2026,S7,10.95,-455971.32,1959210.623,258229.94,-0.131800000
03/11/2026,S7,-26.16,-1970003.17,1941924.955,1342078.31,-0.691100000
03/10/2026,S7,2.74,-1023465.68,1912102.328,552619.46,-0.289000000
03/09/2026,S7,13.3,-549150.54,1800348.163,288941.76,-0.160500000
03/08/2026,S7,18.32,-635888.27,1707122.692,560107.06,-0.328100000
03/07/2026,S7,-58.09,-478181.5,1800155.245,656326.35,-0.364600000
03/06/2026,S7,-41.78,-721104.99,2008712.832,435504.17,-0.216800000
03/05/2026,S7,-29.92,-300713.39,1905029.471,-21900.99,1.15E-2
03/04/2026,S7,32.01,-206411.04,1712915.385,448089.44,-0.261600000
03/03/2026,S7,-38.34,-33017.56,1833182.755,131068.84,-7.1499999999999994E-2
03/02/2026,S7,-16.76,35614.21,1751331.465,145170.29,-8.2900000000000001E-2
03/01/2026,S7,-11.72,-96105.85,1764589.801,151771.68,-8.5999999999999993E-2
02/28/2026,S7,18.71,-470233.92,1707741.081,-45092.36,2.64E-2
02/27/2026,S7,17.57,-29694.19,1758489.458,-118874.17,6.7599999999999993E-2
02/26/2026,S7,37.18,-318623.48,1695752.074,480922.02,-0.283600000
